nombre;descripcion;imagen
Rasos;Teixit de lligament ras que ofereix una superfície extremadament suau, llisa i brillant. És l'elecció predilecta per a la confecció de vestits de festa, llenceria d'alta gamma i elements decoratius que busquin un toc de luxe i distinció.;https://waixo.com/wp-content/uploads/2023/12/cabezal-raso_1.jpg
Llençol a metres;Teixit lleuger, fresc i altament transpirable amb una composició optimitzada per al descans. La seva suauitat al contacte amb la pell el fa perfecte per a la confecció de jocs de llençols personalitzats, fundes de coixí i roba de llit duradora.;
Lonetes llises;Teixit de gran cos i resistència mecànica, fabricat amb fils entrellaçats de forma tupida. La seva versatilitat i acabat llis el converteixen en el material ideal per a tapisseria de mobiliari, confecció de coixins, motxilles i projectes de manualitats que requereixin durabilitat.;
Lonetes estampades;Variant resistent de la loneta que incorpora dissenys i motius gràfics mitjançant impressió d'alta qualitat. Combina la robustesa necessària per tapissar cadires i sofàs amb un alt valor decoratiu per a cortines, estovalles i complements de la llar.;
Patchwork;Selecció de teixits de cotó d'alta qualitat amb diversos dissenys coordinats. Presenten el gramatge i l'estabilitat necessaris per a talls precisos en projectes de costura creativa, embuatats manuals i la unió de retalls per a flassades i accessoris únics.;
Teixits de punt;Estructura tèxtil entrellaçada que atorga una elasticitat natural i gran capacitat de recuperació. És un teixit extremadament còmode i adaptable al cos, ideal per a la confecció de samarretes, vestits ajustats, peces esportives i roba infantil.;
Teixit de tovallola;Teixit de rínxol amb alta capacitat d'absorció gràcies a la seva estructura de bucles de cotó. El seu tacte esponjós i resistent als rentats freqüents el fa imprescindible per a la fabricació de tovalloles de bany, barnussos i accessoris d'higiene.;
Estovalles a metres;Teixit especialitzat per al servei de taula que combina resistència a les taques amb una caiguda elegant. Està dissenyat per suportar l'ús diari i rentats intensius, mantenint el seu color i textura en ambients de menjador i hostaleria.;
Entreteles;Material de reforç tècnic que s'aplica a l'interior de les peces per proporcionar estructura, cos i rigidesa controlada. Fonamental per donar forma a colls, punys, solapes i vistes, assegurant que la peça mantingui el seu disseny original.;
Popelín;Teixit de trama fina, densa i tacte lleugerament sedós. És un material molt agraït per a la costura per la seva estabilitat, sent l'estàndard per a la confecció de camises de vestir, bruses femenines i vestits d'estiu frescos i elegants.;
Vellut;Teixit suntuós amb un pèl curt i dens que crea una textura vellutada inconfusible. Reflecteix la llum de forma única, aportant profunditat cromàtica i elegància en la confecció de trajes de nit, jaquetes i elements de decoració sofisticada.;https://galeriasmadrid.es/cdn/shop/files/N061_114_1_154005-3_87733c0d-d269-43c7-8706-efaa98c642f1.webp?v=1749032425&width=990
Teixits de pèl;Material tèxtil que imita la pell animal amb fibres sintètiques suaus i de diversa longitud. Proporciona un gran aïllament tèrmic i un aspecte voluminós, sent ideal per a la creació d'abrics d'hivern, disfresses creatives i flassades decoratives.;
Polipell;Innovadora alternativa sintètica al cuir que ofereix una superfície gravada d'alta resistència i fàcil manteniment. El seu acabat impermeable i durador és perfecte per al tapissat de seients d'exterior, sofàs, confecció de bosses de mà i complements de moda ètica.;https://m.media-amazon.com/images/I/91qfizwmpTS._AC_UF894,1000_QL80_.jpg
Teixit de tendal per metres;Lona tècnica d'alta densitat amb tractaments específics per a la resistència als raigs UV i la intempèrie. La seva estructura reforçada prevé l'esquinçament i la decoloració, sent el material estàndard per a protecció solar en terrasses, balcons i pèrgoles.;
Teixits de moda;Col·lecció dinàmica de tèxtils que segueixen les últimes tendències de les passarel·les. Inclou barreges de fibres i acabats novedosos dissenyats específicament per a la confecció de peces de temporada que requereixen un aspecte actual i avantguardista.;
Lli;Fibra natural d'origen vegetal reconeguda per la seva excepcional frescor i propietats antibacterianes. La seva característica textura irregular i la seva capacitat per absorbir la humitat el converteixen en el teixit de luxe indispensable per a climes càlids i moda estival.;
Cotons;Teixit universal d'origen natural, valorat per la seva suauitat, transpirabilitat i hipoalergenicitat. És la base de la indústria tèxtil gràcies a la seva versatilitat, permetent des de la confecció de roba bàsica diària fins a articles de la llar d'alta durabilitat.;
Teixits ignífugs;Materials tècnics sotmesos a processos químics ignífugs que impedeixen la propagació de la flama. Compleixen amb estrictes normatives de seguretat, sent obligatoris per a cortines i tapisseries en locals públics, hotels, teatres i entorns de risc.;
Tapisseria;Gama de teixits d'alt rendiment amb índexs de resistència a l'abrasió molt elevats. Estan dissenyats per suportar el frec constant i el pes, fet que els fa ideals per renovar cadires, butaques, sofàs i capçals de llit amb garanties de longevitat.;
Blondes;Teixit delicat i ornamental que presenta calats i motius florals realitzats amb fils fins. Aporta un aire romàntic i sofisticat quan s'utilitza com a recobriment en vestits de núvia, detalls en llenceria o acabats decoratius en peces de gala.;
Feltres;Tèxtil no teixit produït mitjançant la compactació de fibres, fet que resulta en un material dens que no s'esfilagarsa en tallar-lo. La seva rigidesa i calidesa el fan perfecte per a manualitats escolars, decoracions nadalenques, barreteria i aplicacions industrials.;
Goma eva;Material polimèric termoplàstic d'estructura cel·lular tancada, molt lleuger i flexible. La seva facilitat per ser tallat, enganxat i motllurat amb calor el converteix en el material estrella per al disseny de disfresses, accessoris de cosplay i manualitats infantils.;
Tul;Xarxa tèxtil molt fina i lleugera que crea un efecte de transparència i volum sense afegir pes. És un teixit fonamental en la creació de vels, faldilles de ballarina (tutús), capes de volum en vestits de festa i decoració d'esdeveniments i celebracions.;
Organza;Teixit rígid i translúcid amb una brillantor irisada característica. Malgrat la seva lleugeresa, manté molt bé la forma, cosa que permet crear volants, llaços i estructures decoratives en vestits de cerimònia, embolcalls de luxe i aplicacions tèxtils.;
Gases;Teixit de lligament obert extremadament vaporós i delicat. La seva caiguda fluida i semitransparència el fan ideal per a la confecció de fulards, vestits multicapa i peces romàntiques que busquin lleugeresa i moviment constant.;
Franel·les;Teixit de cotó o llana sotmès a un procés de perxat per extreure les fibres i crear una superfície suau i flonja. És excel·lent com a aïllant tèrmic, sent el material preferit per a pijames d'hivern, llençols tèrmics i camises de quadres.;
Punt per a mallots;Tèxtil d'alta tecnologia amb gran percentatge d'elastà que permet una extensió màxima en totes les direccions. Dissenyat per oferir total llibertat de moviment en la confecció de malles de ball, roba de gimnàstica rítmica i trajes de patinatge.;
Llanes;Fibra natural animal amb propietats tèrmiques inigualables, capaç de mantenir la calor corporal fins i tot en condicions humides. La seva elasticitat natural i resistència a les arrugues la fan perfecta per a jerseis de qualitat, jaquetes i accessoris d'hivern.;
Mohair;Fibra de luxe procedent del pèl de la cabra d'Angora, coneguda per la seva brillantor sedosa i la seva gran calidesa malgrat el seu poc pes. És un material molt apreciat en l'alta costura per la seva resistència al feltrejat i la seva suauitat excepcional al tacto.;
Paños;Teixit de llana dens i sotmès a processos d'acabat que tanquen la trama, resultant en una superfície llisa i molt resistent al vent. És el teixit clàssic i robust per excel·lència per a la fabricació d'abrics estructurats i peces d'abrigar formals.;
Viscoses;Fibra cel·lulòsica regenerada que combina la comoditat del cotó amb la caiguda i la brillantor de la seda. És un teixit molt fresc i suau que s'adapta perfectament al moviment, sent l'opció ideal per a bruses fluides, pantalons amples i vestits lleugers.;
Punt tubular;Teixit elàstic fabricat de forma circular que no té costures laterals. La seva estructura el fa ideal per a la confecció de punys en dessuadores, colls de samarretes i bandes abdominals, facilitant un acabat net i professional en la peça.;
Cortines a metres;Selecció de tèxtils amb diferents graus d'opacitat i caiguda, dissenyats per vestir finestres. Inclou des de visillos lleugers que deixen passar la llum fins a teixits opacs (blackout) que garanteixen la privacitat i l'aïllament tèrmic a la llar.;
Teixits de carnaval;Materials tèxtils vibrants, amb acabats brillants, lluentons o textures extravagants. Estan dissenyats per maximitzar l'impacte visual en desfilades i festes, permetent la creació de disfresses espectaculars amb colors intensos i textures úniques.;
Teixits de Nadal;Teixits decoratius que incorporen motius i colors tradicionals de l'època festiva, com vermells, verds i daurats. Ideals per a la confecció d'estovalles temàtiques, mitjons de Nadal, camins de taula i detalls ornamentals per a la llar.;
Teixits recoberts d'escuma;Combinació tècnica d'un teixit exterior unit a una capa d'escuma de poliuretà. Proporciona un efecte embuatat immediat i aïllament, sent molt utilitzat en l'interior de bosses de mà, fundes de dispositius electrònics i panells de protecció.;
Teixit vaquer;Teixit de cotó reforçat (denim) amb una característica sarga diagonal que li confereix una resistència extrema al desgast. És el material icònic per a la confecció de pantalons vaquers, jaquetes de treball i complements que requereixin un look urbà.;
Saca;Teixit rústic de fibra natural (generalment jute o cànem) amb una trama oberta i molt resistent. La seva estètica orgànica el fa popular per a tapisseria d'estil industrial, decoració d'esdeveniments rústics, jardineria i fabricació d'envasos tradicionals.;
Pèl curt;Variant de teixit sintètic amb fibres molt curtes i compactes que ofereixen un tacte similar al peluix. És extremadament suau i acollidor, fet que el fa idoni per a la fabricació de flassades per a nadons, folres de jaquetes i joguines infantils.;
Moqueta;Teixit de gran gruix i base reforçada dissenyat per al revestiment de terres. Ofereix propietats d'aïllament acústic i tèrmic, a més d'una petjada confortable, sent ideal per a fires, esdeveniments corporatius o renovació d'espais interiors.;
