nombre;descripcion;imagen
Rasos;Tejido suave y brillante ideal para vestidos elegantes y decoraciones.;https://waixo.com/wp-content/uploads/2023/12/cabezal-raso_1.jpg
Sabana a metros;Tejido ligero y transpirable perfecto para sábanas y ropa de cama.;
Lonetas lisas;Tejido resistente y liso, ideal para tapicería y manualidades.;
Lonetas estampadas;Tejido resistente con estampados variados para decoración y tapicería.;
Patchwork;Tejidos variados para proyectos de patchwork y manualidades creativas.;
Tejidos punto;Tejido elástico y cómodo para prendas ajustadas y deportivas.;
Tejido toalla;Tejido absorbente ideal para toallas y albornoces.;
Manteles a metros;Tejido especial para manteles, fácil de limpiar y resistente.;
Entretelas;Tejido de refuerzo para dar cuerpo y estructura a prendas.;
Popeline;Tejido fino y suave, perfecto para camisas y blusas.;
Terciopelo;Tejido suave y lujoso con textura aterciopelada.;https://galeriasmadrid.es/cdn/shop/files/N061_114_1_154005-3_87733c0d-d269-43c7-8706-efaa98c642f1.webp?v=1749032425&width=990
Tejidos de pelo;Tejidos con superficie peluda, ideales para abrigos y disfraces.;
Polipiel;Alternativa sintética al cuero, resistente y fácil de limpiar.;https://m.media-amazon.com/images/I/91qfizwmpTS._AC_UF894,1000_QL80_.jpg
Tejido de toldo por metros;Tejido resistente a la intemperie para toldos y exteriores.;
Tejidos de moda;Selección de tejidos actuales para confección de prendas modernas.;
Linos;Tejido natural, fresco y transpirable, ideal para verano.;
Algodones;Tejido natural, suave y versátil para todo tipo de prendas.;
Tejidos correfuegos;Tejidos con tratamiento ignífugo para mayor seguridad.;
Tapiceria;Tejidos resistentes para tapizar muebles y asientos.;
Blondas;Tejido decorativo con encaje, ideal para detalles y acabados.;
Fielteos;Tejido denso y cálido, perfecto para manualidades y decoración.;
Goma eva;Material espumoso y flexible para manualidades y disfraces.;
Tul;Tejido fino y transparente, ideal para velos y decoración.;
Organza;Tejido ligero y translúcido para eventos y decoración.;
Gasas;Tejido muy ligero y vaporoso, perfecto para prendas delicadas.;
Franelas;Tejido cálido y suave, ideal para pijamas y camisas.;
Punto para clales;Tejido elástico para ropa de baile y gimnasia.;
Lanas;Tejido cálido y natural para prendas de invierno.;
Mohair;Tejido suave y lujoso de pelo de cabra angora.;
Paños;Tejido grueso y cálido, ideal para abrigos.;
Viscosas;Tejido suave y fluido, perfecto para vestidos y blusas.;
Punto tubular;Tejido circular sin costuras laterales, ideal para puños y cuellos.;
Cortinas a metros;Tejido especial para cortinas, disponible en varios estilos.;
Tejidos carnaval;Tejidos coloridos y llamativos para disfraces de carnaval.;
Tejidos navideños;Tejidos con motivos festivos para decoración navideña.;
Tejido recubiertos de espuma;Tejido con capa de espuma para acolchados y protección.;
Tejano;Tejido resistente tipo denim para pantalones y chaquetas.;
Saco;Tejido grueso y resistente, ideal para sacos y tapicería rústica.;
Pelo corto;Tejido con pelo corto, suave al tacto, ideal para peluches y mantas.;
Moqueta;Tejido grueso y resistente para alfombras y revestimientos de suelo.;
